title,mode,level,id,thumbnail
"ヨロピク ピクヨロ！
Yoropiku Pikuyoro !",Co-op,x2,L1RFTlVGVUQvS3YvVm82cFl2bkRLQT09,https://phoenix.piugame.com/data/song_img/a3f59503b1c4eae7f27fe2ba8ca405af.png?v=20241031113041
PRiMA MATERiA,Single,24,aW9melZ3YzhObDViaSs5SS9qWmI0QT09,https://phoenix.piugame.com/data/song_img/d9ca9ba14be1f8d7bc007bfcae6f19a1.png?v=20241031113041
Shub Niggurath,Single,24,b3BSZVJ3MTFvWXdENkZMZmZMN2RpQT09,https://phoenix.piugame.com/data/song_img/1f724c66b21c31dd9c8999b2cdd04f6d.png?v=20241031113041
Skeptic,Single,24,UThSMm9SM1VBQ2xGYzU5SXZ5dnVDUT09,https://phoenix.piugame.com/data/song_img/cfd902c46c5004527c92d5e229edcc42.png?v=20241031113041
Xeroize,Single,24,dExNT1FNK28xWE5PNWlWZm1VUFpQUT09,https://phoenix.piugame.com/data/song_img/50c4cc1811cead8b175df061b10e6307.png?v=20241031113041
1949,Single,23,MmZ4dUYxMDlhTTY0SzlIb1ZnWDB2UT09,https://phoenix.piugame.com/data/song_img/27b9c3cc4f8d3c476205f2d4e6bbd9a5.png?v=20241031113041
1950,Single,23,WEtUNWRIdWdCM1p1K0pHbjlyZ1BuZz09,https://phoenix.piugame.com/data/song_img/fba81856a34b5447cd12dc4aaf87d37a.png?v=20241031113041
Allegro Con Fuoco - FULL SONG -,Single,23,OW82V3QyYzZlQXQxYWVkNzhhS0JEZz09,https://phoenix.piugame.com/data/song_img/ecf5b60d92bfd65eb7ad32d69bfa7bdc.png?v=20241031113041
Annihilator Method,Single,23,ZWRxMjEyT3hEQVlNKzVYVnJWN0IrQT09,https://phoenix.piugame.com/data/song_img/3e793e858d8ccd6adc2e5302d13efb8f.png?v=20241031113041
Avalanquiem,Single,23,NGhsN2MzczRsUGVlZkNBSkFSWll4QT09,https://phoenix.piugame.com/data/song_img/9684b814e944dad64b6f07c81300820c.png?v=20241031113041
Chimera,Single,23,ZXBzNVd0Q3NRZDdyais0SjdRVldqUT09,https://phoenix.piugame.com/data/song_img/29515cbcd2bb2db30c23ed5228cdf93d.png?v=20241031113041
Cleaner,Single,23,a2RFTGg1SXdDcjFiUHpHeURYYkExdz09,https://phoenix.piugame.com/data/song_img/e6ac757c38d1d589c25b3461bb8438d5.png?v=20241031113041
Dement ~After Legend~,Single,23,ZkhqeXJiYlRtTGdHTEt3eFNXd2V0UT09,https://phoenix.piugame.com/data/song_img/fd482baf3748bc4b5e74b4d5cd800819.png?v=20241031113041
ERRORCODE: 0,Single,23,dzdYbEJpbFBpSmZJdSttY3l5Wkp0UT09,https://phoenix.piugame.com/data/song_img/f376da01e82ef98a2020800e9072fe78.png?v=20241031113041
F(R)IEND,Single,23,Q3VEL3k5VEErV2FhSi9xd0VVSE1oUT09,https://phoenix.piugame.com/data/song_img/341db42d98d602ee2e3da10c068cacda.png?v=20241031113041
Final Audition Ep. 2-X,Single,23,MGtXNlFGTlNMQnJoOUg5K3FQTzAwdz09,https://phoenix.piugame.com/data/song_img/5b0e6ecc1d2e50f73a354bea2626c78d.png?v=20241031113041
Fire Noodle Challenge,Single,23,T001bTdIMDI0WW1DRWR5UjBIUkkvUT09,https://phoenix.piugame.com/data/song_img/8fbb4702a5c6be65e7dfb7635af4ec6d.png?v=20241031113041
Gargoyle - FULL SONG -,Single,23,M2h5OWhWVTZmWS9rMVkyclhXV1RnQT09,https://phoenix.piugame.com/data/song_img/9e54f9ac19a9725e63a85bad034b662d.png?v=20241031113041
Ghroth,Single,23,RjE3TGd3QVRxQzlpOFBoNENNZUdxZz09,https://phoenix.piugame.com/data/song_img/711e60a1b06997e72dde2024731aebdf.png?v=20241031113041
GLORIA,Single,23,SFhuWmpYNVlhcnJrQmp1cnM1MUwzUT09,https://phoenix.piugame.com/data/song_img/582c4b074703ed2e43d6e53030bdb8e6.png?v=20241031113041
GOOD NIGHT,Single,23,L0ZlaXNQSjR4L3Zkalc3dmM1NVVvdz09,https://phoenix.piugame.com/data/song_img/950bba94b66e30b4a33c794c204b2ac8.png?v=20241031113041
HEART RABBIT COASTER,Single,23,S0xjbUNpNzhCR1dIZy9aMC9CMDdKUT09,https://phoenix.piugame.com/data/song_img/21f8ea50ea39ae9649ef630448e5a2d4.png?v=20241031113041
INVASION,Single,23,eE1SOVJ0S1c0aWJkYW5MRmRzclFYZz09,https://phoenix.piugame.com/data/song_img/774827619c1d0d5c3068df20119a35e6.png?v=20241031113041
Jupin,Single,23,djYzRE5oeDVkUTgrMXBSRGtVUEFjdz09,https://phoenix.piugame.com/data/song_img/9f561790e1f3df1f1174b87f0d78b9d6.png?v=20241031113041
Kokugen Kairou Labyrinth,Single,23,bXE5UjgxZUNXWCtFU01VSUdNaGg1Zz09,https://phoenix.piugame.com/data/song_img/e6f6dc0021c7ff7a8a5bfbbf1d1795f6.png?v=20241031113041
TRICKL4SH 220,Single,23,S3RYOW4vR3c4eTFIa3hvSEcwTjllZz09,https://phoenix.piugame.com/data/song_img/81c807da9ac1fd29e74ab8a510976789.png?v=20241031113041
Ultimatum,Single,23,VWwySTV1VlhkcW43eHVnaUpKZng2UT09,https://phoenix.piugame.com/data/song_img/54a6474ee494e9b1748e1edd3affee0b.png?v=20241031113041
Underworld ft. Skizzo (PIU Edit.),Single,23,LzZKVEpxRU1EV3lzQnVsMFJMMlZFUT09,https://phoenix.piugame.com/data/song_img/537cebe79bb5a6cea03bf1d7a4d687e6.png?v=20241031113041
Vacuum,Single,23,WWh4a2ptR3l3THhPdEdVWkNSY2diUT09,https://phoenix.piugame.com/data/song_img/fe92678270d73a1a7aa2c68fc058ba3f.png?v=20241031113041
Viyella's Nightmare,Single,23,enFPTlFOQVQxOUxPaEg2NWRncGJQdz09,https://phoenix.piugame.com/data/song_img/dde154d8a721c5d510b71c788d0b8673.png?v=20241031113041
VVV,Single,23,UEpJeVhGdVRhOGRoS200VmladTNBQT09,https://phoenix.piugame.com/data/song_img/3f951d73d3c1c32c7d238b2ce184459d.png?v=20241031113041
Yog-Sothoth,Single,23,OE5nVEU1T3ZEbk02QlhBRnlRVzRRQT09,https://phoenix.piugame.com/data/song_img/bc54e47a51c88d61e1132c40cce0f714.png?v=20241031113041
* this game does not exist *,Single,22,WTA3UTd6VzRTYURsWklkQjNNNklNZz09,https://phoenix.piugame.com/data/song_img/89f84e8cf3b3b99a00a93bf032100f8e.png?v=20241031113041
